,name,club,rank,category,points,id,link
378,פבלו מעיין,הפועל ירושלים,379,S,670.8,7656,/p/7656/פבלו-מעיין
379,דן גולדמן,ללא מועדון,380,S40,668.1,7251,/p/7251/דן-גולדמן
380,עמית מלמד,ללא מועדון,381,S40,668.0,4695,/p/4695/עמית-מלמד
381,מיכאל ליטבק,מכבי רחובות,382,J17,667.5,2484,/p/2484/מיכאל-ליטבק
382,זוריק מנשה,הפועל טנ''ש באר שבע,383,S60,663.1,1878,/p/1878/זוריק-מנשה
383,אומר חטמוב,הפועל ירושלים,384,S40,661.8,1268,/p/1268/אומר-חטמוב
384,שלמה ביגר,אופק קריית אונו,385,S40,661.6,4035,/p/4035/שלמה-ביגר
385,ערן מעוז,"מ. טנ""ש ויקטור נתניה",386,S40,661.3,6935,/p/6935/ערן-מעוז
386,נתנאל מזרחי,הפועל ירושלים,387,S,661.3,3033,/p/3033/נתנאל-מזרחי
387,יורי קוצ'ר,הפועל טנ''ש באר שבע,388,S40,660.9,2049,/p/2049/יורי-קוצ-ר
388,שמואל גושן,מ. בני הרצליה,389,S60,659.4,1682,/p/1682/שמואל-גושן
389,אסף גופר,אופק קריית אונו,390,S,655.7,407,/p/407/אסף-גופר
390,יעקב שקולניק,הפועל טנ''ש באר שבע,391,S60,655.1,1393,/p/1393/יעקב-שקולניק
391,גרגורי נטישינסקי,הישגי כרמיאל,392,S70,655.1,2338,/p/2338/גרגורי-נטישינסקי
392,יואל כהן,אופק קריית אונו,393,S,652.8,937,/p/937/יואל-כהן
393,אשר בר,מכבי שהם,394,S50,651.5,1779,/p/1779/אשר-בר
394,דניאל בורכוב,טנ''ש 2007 נתניה,395,S,650.0,7011,/p/7011/דניאל-בורכוב
395,סרגיי סקובלו,מכבי גבירול באר שבע,396,S40,649.8,4248,/p/4248/סרגיי-סקובלו
396,יורי בונדרנקו,הפועל לוד,397,S40,649.3,6880,/p/6880/יורי-בונדרנקו
397,יוגב שול,הפועל באר טוביה,398,S40,648.4,924,/p/924/יוגב-שול
398,אורי אוליצקי,טנ''ש 2007 נתניה,399,J18,645.8,3999,/p/3999/אורי-אוליצקי
